数据结构,1.2基本概念和术语,章节,一级概念,一级概念
1.2基本概念和术语,数据,包括,一级概念,二级概念
数据,可被计算机识别和处理的符号集合,定义,二级概念,三级概念
数据,数值数据,包括,二级概念,三级概念
数据,非数值数据,包括,二级概念,三级概念
数值数据,整数、实数等,包括,三级概念,四级概念
非数值数据,图形、图像、声音、文字等,包括,三级概念,四级概念
数据,数值元素,包括,二级概念,三级概念
数值元素,数据项,包括,三级概念,四级概念
数值元素,由数据组成并具有一定意义的基本单位,定义,三级概念,四级概念
数据项,构成数据元素的不可分割的最小单位,定义,四级概念,五级概念
数据,数据对象,包括,二级概念,三级概念
数据对象,具有相同特性数据元素的集合，是数据的一个子集,定义,三级概念,四级概念
数据,数据的逻辑结构,包括,二级概念,三级概念
数据的逻辑结构,集合结构,包含,三级概念,四级概念
数据的逻辑结构,线性结构,包含,三级概念,四级概念
数据的逻辑结构,树形结构,包含,三级概念,四级概念
数据的逻辑结构,图形结构,包含,三级概念,四级概念
集合结构,数据元素同属于一个集合外，无其他关系,定义,四级概念,五级概念
线性结构,一对一的线性关系,定义,四级概念,五级概念
树形结构,一对多的层次关系,定义,四级概念,五级概念
图形结构,多对多的邻接关系,定义,四级概念,五级概念
数据,数据的存储结构,包括,二级概念,三级概念
数据的存储结构,顺序存储结构,包含,三级概念,四级概念
数据的存储结构,链式存储结构,包含,三级概念,四级概念
顺序存储结构,通过元素在存储器中的相对位置来表示数据元素间的逻辑关系,定义,四级概念,五级概念
链式存储结构,通过指示元素存储地址的指针表示数据元素间的逻辑关系,定义,四级概念,五级概念
数据的逻辑结构,是面向问题的，反映了数据内部的构成方式,定义,三级概念,四级概念
数据的存储结构,属于具体实现的视图，是面向计算机的,定义,三级概念,四级概念
数据的逻辑结构,可以用多种存储结构来存储，而采用不同的存储结构，其数据处理的效率通常是不同的,条件,三级概念,四级概念
数据,数据类型,包括,二级概念,三级概念
数据类型,指一组值的集合及定义在这个值集上的一组操作的总称,定义,三级概念,四级概念
数据类型,基本数据类型,包括,三级概念,四级概念
数据类型,结构数据类型,包括,三级概念,四级概念
数据类型,抽象数据类型,包括,三级概念,四级概念
基本数据类型,如int，char，float，double等,包括,四级概念,五级概念
结构数据类型,如数组，结构体，联合体等,包括,四级概念,五级概念
抽象数据类型,指一个数据结构以及定义在该结构上的一组操作的总称,定义,四级概念,五级概念
抽象数据类型,更高层次的数据抽象，由用户定义，表示具体问题的数据模型。由基本的数据类型组成，并包括一组相关的操作,包括,四级概念,五级概念
抽象数据类型,以下的三元组来表示，数据对象，数据关系，基本操作,定义,四级概念,五级概念
抽象数据类型,ADT,相关,四级概念,四级概念
ADT,格式如下，数据对象类型名，数据对象，数据关系，基本操作，ADT抽象数据类型名,定义,四级概念,五级概念
