数据结构,6.7最短路径,章节,一级概念,一级概念,非常熟悉,比较熟悉
6.7最短路径,路径,包括,一级概念,二级概念,比较熟悉,大致了解
路径,从图中某一顶点到另一顶点的路线,定义,二级概念,三级概念,大致了解,有点不熟悉
路径,路径长度,包括,二级概念,三级概念,大致了解,非常熟悉
路径长度,路径上边的权值总和,定义,三级概念,四级概念,非常熟悉,比较熟悉
路径,最短路径,包括,二级概念,三级概念,大致了解,大致了解
最短路径,图中两顶点间路径长度最小的路径,定义,三级概念,四级概念,大致了解,有点不熟悉
最短路径,单源最短路径问题,包括,三级概念,四级概念,大致了解,非常熟悉
单源最短路径问题,从图中某个源点到其他各点的最短路径问题,定义,四级概念,五级概念,非常熟悉,比较熟悉
最短路径,多源最短路径问题,包括,三级概念,四级概念,大致了解,大致了解
多源最短路径问题,图中任意两点间的最短路径问题,定义,四级概念,五级概念,大致了解,有点不熟悉
单源最短路径问题,Dijkstra算法,解决,四级概念,五级概念,非常熟悉,非常熟悉
Dijkstra算法,通过贪心策略逐步扩展已知最短路径,定义,五级概念,六级概念,非常熟悉,比较熟悉
Dijkstra算法,适用于非负权图,条件,五级概念,六级概念,非常熟悉,大致了解
Dijkstra算法,Dijkstra算法核心思想,包括,五级概念,六级概念,非常熟悉,有点不熟悉
Dijkstra算法,非负权边图,权重特性,五级概念,六级概念,非常熟悉,非常熟悉
Dijkstra算法核心思想,从起点开始，逐步找到到达其他顶点的最短路径,定义,六级概念,六级概念,有点不熟悉,比较熟悉
多源最短路径问题,Floyd算法,解决,四级概念,五级概念,大致了解,大致了解
Floyd算法,基于动态规划解决多源最短路径问题,定义,五级概念,六级概念,大致了解,有点不熟悉
Floyd算法,适用于含负权边的图（但无负权回路）,条件,五级概念,六级概念,大致了解,非常熟悉
Floyd算法,Floyd算法核心思想,包括,五级概念,六级概念,大致了解,比较熟悉
Floyd算法,含负权边图,权重特性,五级概念,六级概念,大致了解,大致了解
Floyd算法核心思想,以每个顶点为中间顶点，迭代更新最短路径,定义,六级概念,六级概念,比较熟悉,有点不熟悉
最短路径,最短路径问题,包括,三级概念,四级概念,大致了解,非常熟悉
最短路径问题,算法选择,包括,四级概念,五级概念,非常熟悉,比较熟悉
算法选择,稠密图,Dijkstra算法,五级概念,六级概念,比较熟悉,大致了解
算法选择,稀疏图,Floyd算法,五级概念,六级概念,比较熟悉,有点不熟悉
